combination_id,product_name,Size,Material,Printed Side,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Material_id,Printed Side_id,Quantity_id,Printing Time_id,timestamp,notes
87,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"4,000",6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1784,1909,2025-09-01T17:46:21.338481,Extracted using real API endpoints
88,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"4,000",4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1784,1792,2025-09-01T17:46:21.684632,Extracted using real API endpoints
89,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"5,000",6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1786,1909,2025-09-01T17:46:22.014359,Extracted using real API endpoints
90,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"5,000",4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1786,1792,2025-09-01T17:46:22.337770,Extracted using real API endpoints
91,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,25,6 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1772,1909,2025-09-01T17:46:22.664803,Extracted using real API endpoints
92,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,25,4 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1772,1792,2025-09-01T17:46:22.999697,Extracted using real API endpoints
93,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,50,6 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1773,1909,2025-09-01T17:46:23.320437,Extracted using real API endpoints
94,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,50,4 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1773,1792,2025-09-01T17:46:23.645799,Extracted using real API endpoints
95,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,75,6 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,18464,1909,2025-09-01T17:46:23.980797,Extracted using real API endpoints
96,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,75,4 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,18464,1792,2025-09-01T17:46:24.309726,Extracted using real API endpoints
97,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,100,6 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1774,1909,2025-09-01T17:46:24.656262,Extracted using real API endpoints
98,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,100,4 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1774,1792,2025-09-01T17:46:24.993515,Extracted using real API endpoints
99,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,150,6 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1945,1909,2025-09-01T17:46:25.327440,Extracted using real API endpoints
100,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,150,4 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1945,1792,2025-09-01T17:46:25.663776,Extracted using real API endpoints
101,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,200,6 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1946,1909,2025-09-01T17:46:26.429458,Extracted using real API endpoints
102,Business Card Magnets,"2.5"" x 2.5"" (Square)",17 pt. Magnet High Gloss (UV),Front Only,200,4 Business Days,$20.00,$20.00,0.00000,0,0,66316,2488,1769,1946,1792,2025-09-01T17:46:27.521565,Extracted using real API endpoints
